,page_id,page_title,page_namespace,rev_timestamp,views,views_mean,views_median,views_sum,views_peak
0,9429,Abraham_Lincoln,0,20220530023741,"[2, 2, 1, 0, 0, 0, 0, 1, 0, 2, 1, 0, 1, 1, 1, 1, 2, 4, 0, 0, 1, 0, 1, 0, 3, 0, 0, 1, 1]",0.896551724137931,1.0,26,17
1,9406,Doraemon,0,20220508154529,"[3, 9, 5, 4, 3, 2, 0, 0, 1, 5, 14, 23, 3, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0]",3.0,1.0,78,11
2,9522,Dustin_Hoffman,0,20220907112817,"[3, 3, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 5, 0]",0.68,0.0,17,23
3,9415,Edgar_de_Wahl,0,20220527122951,"[0, 3, 0, 5, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2]",0.7142857142857143,0.0,20,3
4,9437,Eklesie_de_Jesu_Kriste_del_Sanktes_del_Lasti_Dies,0,20220601074006,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0,0
5,9395,Eugenio_Masías,0,20220312145634,"[0, 2, 1, 2, 1, 0, 5, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.7894736842105263,0.0,15,6
6,9492,Fransi_literature_del_17esmi_sekle,0,20220622074358,"[4, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2]",0.5925925925925926,0.0,16,0
7,9422,Germani_lingues,0,20220528033103,"[1, 5, 1, 4, 4, 7, 0, 8, 1, 3, 5, 5, 5, 7, 3, 6, 2, 1, 1, 5, 2, 5, 2, 4, 2, 4, 6, 1, 4]",3.586206896551724,4.0,104,7
8,9438,Germanidi_lingues,0,20220601080225,"[2, 0, 2, 0, 1, 1, 2, 0, 1, 1, 1, 2, 1, 0, 2, 1, 2, 0, 0, 2, 1, 1, 1]",1.0434782608695652,1.0,24,0
9,9528,"Go,_Dog._Go!",0,20221006225706,"[10, 3, 4, 6, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.9,0.0,27,0
10,9423,Gotum,0,20220528035524,"[0, 7, 5, 7, 1, 1, 2, 2, 0, 1, 1, 0, 3, 1, 4, 3, 2, 1, 0, 0, 3, 2, 0, 2, 1, 6, 0, 1, 4, 2, 1]",2.032258064516129,1.0,63,1
11,9440,Gramatike_de_Novial,0,20220601103010,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",0.23076923076923078,0.0,3,0
12,9388,Harry_Northrup,0,20220110013434,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0.2,0.0,4,0
13,9439,Historie_de_Novial,0,20220601095429,"[20, 2, 1, 2, 7, 0, 0, 0, 2, 0, 1, 1, 1, 0, 0, 0, 0, 2, 8, 2, 1, 1, 0, 1]",2.1666666666666665,1.0,52,0
14,9413,Interlingue_(Occidental)_lingue,0,20220527122902,"[1, 0, 6, 0, 2, 5, 1, 1, 0, 0, 1, 3, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 2]",0.9354838709677419,0.0,29,2
15,9433,J._R._R._Tolkien,0,20220530174727,"[6, 7, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 3, 0, 1, 0, 1, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1]",1.0,1.0,29,1
16,9521,Jack_Nicholson,0,20220907112258,"[3, 2, 0, 9, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1]",0.7142857142857143,0.0,20,3
17,9396,Jonas_Altberg,0,20220319125922,"[1, 1, 0, 0]",0.5,0.5,2,0
18,9453,Komunie_de_Valensie,0,20220607095338,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 4, 1]",0.41379310344827586,0.0,12,27
19,9470,Kristologia,0,20220608130444,"[5, 1, 1, 0, 2, 1, 1, 2, 1, 1, 0, 0, 6, 1, 0, 1, 0, 0, 0, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0]",0.9655172413793104,1.0,28,12
20,9529,L'Enciclopèdia,0,20221011000523,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.09090909090909091,0.0,1,1
21,9527,L'Enciclopèdia_in_valensum,0,20221004113054,"[18, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0]",1.1904761904761905,0.0,25,0
22,9519,Leonardo_DiCaprio,0,20220907111253,"[3, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.28,0.0,7,0
23,9520,Matthew_McConaughey,0,20220907111846,"[3, 1, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",0.6521739130434783,0.0,15,3
24,9499,Mikri_Antologie,0,20220625090742,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0.2222222222222222,0.0,4,0
25,9444,Nikola_Tesla,0,20220603083631,"[2, 0, 3, 1, 0, 0, 1, 2, 0, 0, 0, 2, 1, 2, 1, 3, 1, 1, 0, 2, 0, 3, 3, 0, 1, 0, 2, 1, 1, 1, 0]",1.096774193548387,1.0,34,2
26,9414,Occidental,0,20220527122925,"[0, 0, 1, 0, 1, 0, 0, 1, 0]",0.3333333333333333,0.0,3,2
27,9391,Percy_Liza,0,20220123042952,"[2, 0, 0, 1, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",0.391304347826087,0.0,9,4
28,9524,Rafael_Orozco_Maestre,0,20220916211237,"[1, 3, 5, 5, 0, 0, 0, 0, 0, 0, 1, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.2272727272727273,0.0,27,12
29,9530,Reformat_Novial,0,20221022210525,"[11, 13, 2, 7, 2, 0, 3, 1, 2, 2, 1, 3, 0, 1, 0, 4, 1, 1, 0, 1, 0, 0]",2.5,1.0,55,1
30,9532,Richard_Butler,0,20221025063537,"[3, 0, 0, 0, 0, 0, 4, 1, 0, 2, 1, 0, 0, 1, 0, 0, 0, 2, 0, 0, 1, 4]",0.8636363636363636,0.0,19,6
31,9518,Robert_De_Niro,0,20220907110752,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",0.3076923076923077,0.0,8,0
32,9443,Simpli_vivo,0,20220602200745,"[3, 1, 2, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 2, 1, 0, 1, 0, 1, 1, 0, 0, 0, 2, 3, 0, 2, 0, 1, 1]",0.8333333333333334,1.0,25,0
33,9411,Sylvie_Agliardi,0,20220523092149,"[10, 1, 0, 2, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 1, 0, 1, 0]",1.0555555555555556,0.0,19,0
34,9477,Vanuatu,0,20220610110204,"[13, 4, 13, 10, 7, 10, 5, 5, 2, 3, 6, 2, 5, 6, 8, 4, 6, 8, 8, 4, 2, 3, 2, 3, 8, 12, 2, 4, 4, 5, 6]",5.806451612903226,5.0,180,0
35,9425,Yangon,0,20220528043749,"[0, 15, 2, 0, 0, 2, 0, 0, 1, 2, 1, 1, 1, 2, 0, 4, 1, 2, 0, 1, 2, 3, 0, 1, 0, 1, 2, 1, 1, 1, 2]",1.5806451612903225,1.0,49,1
